
Date,Time,Level,Host Name,Category,Program,Messages
2026-05-12,16:37:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=548s heap=76468/45932 net=sta rssi=-67 stream=rtsp drops=7080 i2serr=0
2026-05-12,16:37:05,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=17
2026-05-12,16:36:57,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7065 (ring buffer full)
2026-05-12,16:36:35,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=16
2026-05-12,16:36:24,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7064 (ring buffer full)
2026-05-12,16:36:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=488s heap=76576/45984 net=sta rssi=-64 stream=rtsp drops=7063 i2serr=0
2026-05-12,16:36:05,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=15
2026-05-12,16:35:37,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #6977 (ring buffer full)
2026-05-12,16:35:34,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=14
2026-05-12,16:35:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=428s heap=73028/46156 net=sta rssi=-67 stream=rtsp drops=6970 i2serr=0
2026-05-12,16:35:04,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=13
2026-05-12,16:34:59,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #6890 (ring buffer full)
2026-05-12,16:34:34,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=12
2026-05-12,16:34:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=368s heap=66168/46156 net=sta rssi=-64 stream=rtsp drops=6889 i2serr=0
2026-05-12,16:34:04,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=11
2026-05-12,16:33:44,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #6847 (ring buffer full)
2026-05-12,16:33:34,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=10
2026-05-12,16:33:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=308s heap=62572/46156 net=sta rssi=-64 stream=rtsp drops=6819 i2serr=0
2026-05-12,16:33:06,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #6792 (ring buffer full)
2026-05-12,16:33:04,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=9
2026-05-12,16:32:34,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=8
2026-05-12,16:32:33,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #6771 (ring buffer full)
